1,2015,molly,121
1,2015,heroin,1646
2,2015,bitcoin,2491
2,2015,cocaine,16434
2,2016,xtc,14409
2,2016,mdma,47745
2,2016,buprenorphine,329
3,2015,bud,10971
4,2014,xtc,713
4,2014,mdma,6135
4,2014,buprenorphine,124
4,2015,xanax,23575
4,2015,ecstacy,467
4,2016,diazepam,302
5,2015,kush,26076
5,2015,mephedrone,3274
6,2014,diazepam,4349
6,2015,bacardi,56
7,2014,whiskey,6
7,2015,weed,24635
8,2015,,1000922
9,2014,tramadol,2936
9,2015,speed,6120
10,2014,usps,312
10,2014,suboxone,910
12,2014,molly,1604
12,2014,heroin,10638
2,2015,molly,859
2,2015,heroin,5885
3,2015,bitcoin,3055
3,2015,cocaine,35029
3,2016,xtc,8979
3,2016,mdma,24172
3,2016,buprenorphine,439
4,2015,bud,12087
5,2014,xtc,4508
5,2014,mdma,32223
5,2014,buprenorphine,1317
5,2015,xanax,25702
5,2015,ecstacy,99
6,2015,kush,34704
6,2015,mephedrone,3380
7,2014,diazepam,5342
7,2015,bacardi,597
8,2015,weed,22968
10,2014,tramadol,4705
10,2014,,650851
10,2015,speed,4544
11,2014,usps,289
11,2014,suboxone,960
1,2015,usps,85
1,2015,suboxone,135
2,2016,chiesel,1
3,2015,molly,1152
3,2015,heroin,13121
4,2014,chiesel,36
4,2015,bitcoin,8358
4,2015,cocaine,38734
4,2016,xtc,2623
4,2016,mdma,4151
4,2016,buprenorphine,34
5,2015,bud,15487
6,2014,xtc,12811
6,2014,mdma,67783
6,2014,buprenorphine,1594
6,2015,xanax,36687
6,2015,ecstacy,153
7,2015,kush,26138
7,2015,mephedrone,3171
8,2014,diazepam,6464
8,2015,bacardi,140
9,2014,whiskey,229
9,2015,weed,4260
10,2015,,193135
11,2014,tramadol,4257
11,2015,speed,23364
12,2014,usps,335
12,2014,suboxone,1134
1,2015,tramadol,849
1,2015,,101697
1,2016,speed,29590
2,2015,usps,102
2,2015,suboxone,592
3,2016,chiesel,5
4,2015,molly,496
4,2015,heroin,24965
5,2014,chiesel,35
5,2015,bitcoin,4813
5,2015,cocaine,36615
6,2015,bud,24069
7,2014,xtc,18585
7,2014,mdma,67285
7,2014,buprenorphine,464
7,2015,xanax,31260
7,2015,ecstacy,297
8,2015,kush,18980
8,2015,mephedrone,1992
9,2014,diazepam,8177
10,2015,weed,3256
12,2014,tramadol,3910
12,2014,,547956
12,2015,speed,35531
1,2016,,916802
2,2015,tramadol,1658
2,2016,speed,15480
3,2015,usps,406
3,2015,suboxone,929
4,2014,speed,2549
5,2015,molly,649
5,2015,heroin,16925
6,2014,chiesel,50
6,2015,bitcoin,8618
6,2015,cocaine,87096
7,2015,bud,18478
8,2014,xtc,18769
8,2014,mdma,60954
8,2014,buprenorphine,1101
8,2015,xanax,26193
8,2015,ecstacy,426
9,2015,kush,5789
9,2015,mephedrone,172
10,2014,diazepam,5596
11,2014,whiskey,164
11,2015,weed,14092
12,2015,,1682833
1,2016,weed,28150
3,2015,tramadol,3728
3,2015,,692085
3,2016,speed,9485
4,2015,usps,417
4,2015,suboxone,1194
5,2014,speed,14407
6,2015,molly,1063
6,2015,heroin,39237
7,2014,chiesel,49
7,2015,bitcoin,8186
7,2015,cocaine,74823
8,2015,bud,10341
9,2014,xtc,12818
9,2014,mdma,47833
9,2014,buprenorphine,506
9,2015,xanax,8798
9,2015,ecstacy,59
10,2015,kush,3145
10,2015,mephedrone,250
11,2014,diazepam,9170
12,2014,whiskey,172
12,2015,weed,31698
1,2015,diazepam,1132
1,2016,bacardi,96
2,2015,whiskey,18
2,2016,weed,11122
3,2016,,347849
4,2014,weed,2244
4,2015,tramadol,4934
4,2016,speed,1561
5,2014,,780517
5,2015,usps,174
5,2015,suboxone,1312
6,2014,speed,26437
7,2015,molly,624
7,2015,heroin,34936
8,2014,chiesel,26
8,2015,bitcoin,6126
8,2015,cocaine,48314
9,2015,bud,3504
10,2014,xtc,18795
10,2014,mdma,55699
10,2014,buprenorphine,1215
10,2015,xanax,3923
10,2015,ecstacy,24
11,2015,kush,12818
11,2015,mephedrone,2332
12,2014,diazepam,5612
12,2015,bacardi,362
1,2016,kush,22490
1,2016,mephedrone,2376
2,2015,diazepam,2932
2,2016,bacardi,114
3,2015,whiskey,99
3,2016,weed,7028
5,2014,weed,8267
5,2015,tramadol,5765
5,2015,,1061881
6,2015,usps,350
6,2015,suboxone,2895
7,2014,speed,19648
8,2015,molly,794
8,2015,heroin,21546
9,2015,bitcoin,1703
9,2015,cocaine,14525
10,2015,bud,2763
11,2014,xtc,14696
11,2014,mdma,67392
11,2014,buprenorphine,1258
11,2015,xanax,17520
11,2015,ecstacy,246
12,2015,kush,42093
12,2015,mephedrone,2602
1,2015,xtc,2040
1,2015,mdma,7665
1,2015,buprenorphine,292
1,2016,xanax,28214
1,2016,ecstacy,9
2,2016,kush,24604
2,2016,mephedrone,3121
3,2015,diazepam,8773
3,2016,bacardi,45
4,2014,kush,3326
4,2015,whiskey,15
4,2016,weed,1463
6,2014,weed,21216
6,2015,tramadol,10877
7,2014,,678121
7,2015,usps,535
7,2015,suboxone,3106
8,2014,speed,20180
9,2015,molly,18
9,2015,heroin,6878
10,2015,bitcoin,2421
10,2015,cocaine,8427
11,2015,bud,11656
12,2014,xtc,12812
12,2014,mdma,44371
12,2014,buprenorphine,620
12,2015,xanax,47931
12,2015,ecstacy,198
1,2016,bud,12383
2,2015,xtc,9535
2,2015,mdma,23012
2,2015,buprenorphine,383
2,2016,xanax,20226
2,2016,ecstacy,86
3,2016,kush,8689
3,2016,mephedrone,1668
4,2014,xanax,952
4,2015,diazepam,9118
5,2014,kush,12807
5,2014,mephedrone,1640
6,2014,bacardi,1387
7,2014,weed,15115
7,2015,tramadol,8807
7,2015,,1503041
8,2015,usps,545
8,2015,suboxone,1842
9,2014,speed,10265
10,2015,molly,57
10,2015,heroin,3260
11,2015,bitcoin,2513
11,2015,cocaine,33192
12,2015,bud,21508
1,2015,chiesel,6
1,2016,bitcoin,6061
1,2016,cocaine,57183
2,2016,bud,8601
3,2015,xtc,13259
3,2015,mdma,45499
3,2015,buprenorphine,810
3,2016,xanax,6213
4,2014,bud,1541
4,2016,kush,2011
4,2016,mephedrone,259
5,2014,xanax,8442
5,2014,ecstacy,94
5,2015,diazepam,12342
6,2014,kush,21467
6,2014,mephedrone,2761
6,2015,whiskey,137
7,2014,bacardi,168
8,2014,weed,18066
8,2015,tramadol,7383
9,2014,,458354
9,2015,usps,249
9,2015,suboxone,459
10,2014,speed,15557
11,2015,molly,216
11,2015,heroin,16496
12,2014,chiesel,76
12,2015,bitcoin,15005
12,2015,cocaine,95289
1,2016,molly,584
1,2016,heroin,15387
2,2016,bitcoin,2984
2,2016,cocaine,39264
3,2016,bud,4955
4,2014,bitcoin,221
4,2014,cocaine,4822
4,2015,xtc,24773
4,2015,mdma,72561
4,2015,buprenorphine,3106
4,2016,xanax,2056
5,2014,bud,5724
6,2014,xanax,23198
6,2014,ecstacy,182
6,2015,diazepam,10720
7,2014,kush,15491
7,2014,mephedrone,2652
7,2015,whiskey,168
8,2014,bacardi,195
9,2014,weed,9834
9,2015,tramadol,2125
9,2015,,265681
10,2015,usps,109
10,2015,suboxone,192
11,2014,speed,16654
12,2015,molly,132
12,2015,heroin,44565
1,2015,speed,1983
2,2016,molly,587
2,2016,heroin,16289
3,2015,chiesel,35
3,2016,bitcoin,2790
3,2016,cocaine,14907
4,2014,molly,102
4,2014,heroin,3269
4,2016,bud,1231
5,2014,bitcoin,11292
5,2014,cocaine,28129
5,2015,xtc,19395
5,2015,mdma,61475
5,2015,buprenorphine,1508
6,2014,bud,6412
7,2014,xanax,12369
7,2014,ecstacy,26
7,2015,diazepam,12023
8,2014,kush,18481
8,2014,mephedrone,3260
8,2015,whiskey,24
9,2014,bacardi,49
10,2014,weed,11255
10,2015,tramadol,1209
11,2014,,778555
11,2015,usps,164
11,2015,suboxone,1265
12,2014,speed,13742
1,2016,usps,1975
1,2016,suboxone,2130
2,2015,speed,7304
3,2016,molly,192
3,2016,heroin,6718
4,2015,chiesel,34
4,2016,bitcoin,454
4,2016,cocaine,3803
5,2014,molly,929
5,2014,heroin,15983
6,2014,bitcoin,6515
6,2014,cocaine,31932
6,2015,xtc,33033
6,2015,mdma,109882
6,2015,buprenorphine,4448
7,2014,bud,7071
8,2014,xanax,14961
8,2014,ecstacy,31
8,2015,diazepam,8632
9,2014,kush,10500
9,2014,mephedrone,4353
10,2014,bacardi,101
11,2014,weed,13509
11,2015,tramadol,3500
11,2015,,607770
12,2015,usps,3249
12,2015,suboxone,1758
1,2015,weed,1878
1,2016,tramadol,2285
2,2015,,302172
2,2016,usps,3185
2,2016,suboxone,1682
3,2015,speed,13835
4,2014,usps,80
4,2016,molly,117
4,2016,heroin,1008
6,2014,molly,2443
6,2014,heroin,12973
7,2014,bitcoin,4512
7,2014,cocaine,30988
7,2015,xtc,29173
7,2015,mdma,95448
7,2015,buprenorphine,2903
8,2014,bud,10735
9,2014,xanax,13997
9,2014,ecstacy,14
9,2015,diazepam,2251
10,2014,kush,14098
10,2014,mephedrone,3471
10,2015,whiskey,1
12,2014,weed,9762
12,2015,tramadol,9748
2,2015,weed,5594
2,2016,tramadol,1338
2,2016,,564079
3,2016,usps,81
3,2016,suboxone,329
4,2014,tramadol,48
4,2014,,50523
4,2015,speed,16445
5,2014,usps,209
5,2014,suboxone,1072
7,2014,molly,3396
7,2014,heroin,18191
8,2014,bitcoin,5785
8,2014,cocaine,41644
8,2015,xtc,25864
8,2015,mdma,57517
8,2015,buprenorphine,1762
9,2014,bud,4947
10,2014,xanax,14011
10,2014,ecstacy,111
10,2015,diazepam,2196
11,2014,kush,15822
11,2014,mephedrone,3836
11,2015,whiskey,44
1,2015,kush,2128
1,2015,mephedrone,1028
1,2016,whiskey,63
2,2015,bacardi,9
3,2015,weed,12340
3,2016,tramadol,1250
4,2015,,918964
4,2016,usps,23
4,2016,suboxone,194
5,2014,tramadol,760
5,2015,speed,20234
6,2014,usps,513
6,2014,suboxone,1093
8,2014,molly,2426
8,2014,heroin,17599
9,2014,bitcoin,3392
9,2014,cocaine,23664
9,2015,xtc,7525
9,2015,mdma,17331
9,2015,buprenorphine,838
10,2014,bud,7839
11,2014,xanax,17945
11,2014,ecstacy,324
11,2015,diazepam,8858
12,2014,kush,12130
12,2014,mephedrone,2392
12,2015,whiskey,181
1,2015,xanax,4014
1,2015,ecstacy,27
1,2016,diazepam,7697
2,2015,kush,6531
2,2015,mephedrone,1121
3,2015,bacardi,46
4,2015,weed,24540
4,2016,tramadol,292
4,2016,,71172
6,2014,tramadol,5049
6,2014,,822692
6,2015,speed,44069
7,2014,usps,194
7,2014,suboxone,937
9,2014,molly,2231
9,2014,heroin,10163
10,2014,bitcoin,5114
10,2014,cocaine,30902
10,2015,xtc,6526
10,2015,mdma,11573
10,2015,buprenorphine,304
11,2014,bud,8846
12,2014,xanax,16461
12,2014,ecstacy,38
12,2015,diazepam,18494
1,1970,,6
1,2015,bud,991
2,2015,xanax,8412
2,2015,ecstacy,109
2,2016,diazepam,2995
3,2015,kush,16305
3,2015,mephedrone,2969
3,2016,whiskey,5
4,2014,diazepam,101
5,2015,weed,19386
6,2015,,1629168
7,2014,tramadol,4050
7,2015,speed,32470
8,2014,usps,609
8,2014,suboxone,1075
10,2014,molly,2753
10,2014,heroin,14098
11,2014,bitcoin,4937
11,2014,cocaine,36558
11,2015,xtc,21271
11,2015,mdma,57452
11,2015,buprenorphine,457
12,2014,bud,7230
1,2015,bitcoin,594
1,2015,cocaine,5052
1,2016,xtc,31536
1,2016,mdma,55337
1,2016,buprenorphine,292
2,2015,bud,3594
3,2015,xanax,23837
3,2015,ecstacy,139
3,2016,diazepam,1970
4,2015,kush,19732
4,2015,mephedrone,1876
4,2016,whiskey,2
5,2014,diazepam,3547
6,2014,whiskey,26
6,2015,weed,35160
8,2014,tramadol,4915
8,2014,,814710
8,2015,speed,18072
9,2014,usps,511
9,2014,suboxone,1185
11,2014,molly,1761
11,2014,heroin,16136
12,2014,bitcoin,4166
12,2014,cocaine,28875
12,2015,xtc,46551
12,2015,mdma,122543
12,2015,buprenorphine,1378
