1,1,2015,cocaine,3.7659222900011895
1,1,2016,xtc,0.4728361991663536
1,1,2016,mdma,0.6108404200785809
1,2,2015,bud,0.5958889306701244
1,3,2015,xanax,0.1154770908110282
1,3,2016,diazepam,0.1057205863793691
1,4,2015,kush,1.4830170036647725
1,4,2015,mephedrone,2.9275495704233916
1,6,2015,weed,0.9960754719970377
1,8,2014,tramadol,0.14272009694638352
1,8,2015,speed,0.6081854701042175
1,9,2014,suboxone,0.9539548874917355
1,11,2014,heroin,0.18097735196352005
1,12,2014,bitcoin,0.0
1,12,2014,cocaine,1.5046119724282374
1,12,2015,xtc,0.42856735523409123
1,12,2015,mdma,0.543181975567197
2,1,2015,mdma,0.5143499254253964
2,1,2016,xanax,0.8155681020358181
2,3,2015,diazepam,0.38675725364403146
2,4,2016,weed,1.4461987940679997
2,6,2014,weed,0.04736215741403641
2,6,2015,tramadol,0.008044387403599642
2,7,2015,suboxone,0.2697418304474166
2,8,2014,speed,0.6453118094330211
2,9,2015,heroin,3.7642177158989103
2,10,2015,bitcoin,0.029432412180485146
2,10,2015,cocaine,4.713955854820577
2,11,2015,bud,0.43697664297155075
2,12,2014,xtc,14.318900923295455
2,12,2014,mdma,3.9643168375825857
2,12,2015,xanax,1.986109199146652
2,12,2015,ecstacy,3.496654987335205
3,1,2015,xanax,1.6117929238826036
3,2,2015,kush,1.6246247988950704
3,2,2015,mephedrone,0.24274735689163207
3,4,2016,tramadol,0.20781515924701174
3,6,2014,tramadol,0.03743571113492992
3,6,2015,speed,0.42167802411934424
3,9,2014,molly,0.12151882275938988
3,9,2014,heroin,0.18961503065187033
3,10,2014,bitcoin,0.021534000882883104
3,10,2014,cocaine,0.1405038134494828
3,10,2015,xtc,0.46035047447547894
3,10,2015,mdma,13.701234886580604
3,11,2014,bud,0.25553223136211595
3,12,2014,xanax,0.15512441311563765
3,12,2015,diazepam,0.08360417588187262
4,1,2015,diazepam,0.19362115394324064
4,2,2016,weed,0.7477043724821066
4,4,2015,tramadol,0.1320389062166214
4,4,2016,speed,0.3058227319736034
4,5,2015,suboxone,0.10942760854959488
4,6,2014,speed,33.88834827354887
4,7,2015,heroin,0.15455371884717828
4,8,2014,chiesel,39.45640182495117
4,8,2015,bitcoin,0.05972015557053965
4,8,2015,cocaine,2.579481603956675
4,9,2015,bud,0.5299362691898718
4,10,2014,xtc,20.018980549178163
4,10,2014,mdma,2.657508608968419
4,10,2015,xanax,0.5181770895918211
4,11,2015,kush,0.9459371909190336
4,11,2015,mephedrone,0.7930985086131841
4,12,2014,diazepam,2.7098384393871293
5,2,2015,weed,0.43581903008399187
5,3,2016,suboxone,0.0
5,4,2015,speed,2.6955085395155725
5,7,2014,heroin,0.28191442534975386
5,8,2014,cocaine,1.3784203296650503
5,8,2015,xtc,0.10254691930280792
5,8,2015,mdma,2.478280965550332
5,8,2015,buprenorphine,0.08027380802061247
5,9,2014,bud,1.3138871505809158
5,10,2014,xanax,1.1115982538101827
5,10,2014,ecstacy,0.1898614547469399
5,10,2015,diazepam,0.42639408195503503
5,11,2014,kush,0.8279018212556839
6,2,2015,tramadol,2.549864387512207
6,2,2016,speed,1.0104538620792722
6,5,2015,heroin,0.5498393777580488
6,6,2015,cocaine,0.2867060882114881
6,7,2015,bud,2.335894637921152
6,8,2014,xtc,0.002771435721245195
6,8,2014,mdma,1.1830184835430824
6,8,2015,xanax,7.155810681103871
6,9,2015,kush,15.911751342353536
6,9,2015,mephedrone,0.3163277506828308
6,10,2014,diazepam,0.39657296813749243
6,11,2015,weed,1.5334956361900403
7,1,2016,usps,0.10775067713111638
7,2,2015,speed,0.5334833305869394
7,3,2016,heroin,1.2055795289222793
7,4,2016,cocaine,1.7566972561973206
7,6,2014,bitcoin,0.029879828744625712
7,6,2014,cocaine,0.008801169639006692
7,6,2015,xtc,1.8539982585305885
7,6,2015,mdma,4.750889832000754
7,6,2015,buprenorphine,0.6405389720836542
7,7,2014,bud,0.14277118681371212
7,8,2014,xanax,1.3024088491166832
7,9,2014,kush,0.47070072079990427
7,11,2014,weed,2.046180939520531
7,11,2015,tramadol,0.26985290571421133
8,1,2015,usps,0.22920595854520798
8,1,2015,suboxone,0.2969550450798124
8,4,2015,bitcoin,0.15194101774746246
8,4,2015,cocaine,5.285458146392817
8,4,2016,xtc,0.7232402848405024
8,4,2016,mdma,4.685255392116825
8,4,2016,buprenorphine,0.05418916791677475
8,6,2014,xtc,0.07561893604423214
8,6,2014,mdma,0.27397632500249314
8,6,2015,xanax,1.7722126135754641
8,7,2015,kush,1.6575822734261212
8,7,2015,mephedrone,6.205276036014159
8,8,2014,diazepam,0.15451454827972852
8,9,2015,weed,0.24547217608514157
8,11,2014,tramadol,0.11738191402338921
8,11,2015,speed,0.5547702970021661
9,1,2016,molly,0.19248359543936594
9,1,2016,heroin,10.149707678077952
9,2,2016,bitcoin,0.5545029745118905
9,2,2016,cocaine,3.555127350400538
9,3,2016,bud,0.7851782958872997
9,4,2015,xtc,3.4278195540597833
9,4,2015,mdma,1.1380483191164712
9,4,2016,xanax,0.933619596529752
9,6,2014,xanax,2.1415091545395644
9,7,2014,kush,0.3938042608273151
9,7,2014,mephedrone,1.952398098308755
9,9,2014,weed,1.37734726948936
9,9,2015,tramadol,0.21425624730256507
9,10,2015,usps,0.003503300016745925
9,10,2015,suboxone,0.43323349704345065
9,11,2014,speed,0.7399262432231258
9,12,2015,heroin,0.6638008948048633
10,1,2015,heroin,2.728403396167598
10,2,2015,cocaine,0.8660438675695742
10,2,2016,xtc,8.985767616879667
